No. Start-UT(date) Start-UT(time) End-UT(date) End-UT(time) Shock-Time(date) Shock-Time(time) Heliocentric-Distance(au) Bmean(nT) Bmax(nT) Nmean(cm−3) Nmax(cm−3) Vmean(km.s−1) Vmax(km.s−1) Pdymean(nPa) Pdymax(nPa) SEP-Peak-Time(Ions)(date) SEP-Peak-Time(Ions)(time) SEP-Peak-Time(Electrons)(date) SEP-Peak-Time(Electrons)(time)
1 2014.12.18 14:24 2014.12.21 00:00 NaN NaN 1.38 6.77 12.32 5.10 10.93 366.8 423.8 1.15 2.32 2014.12.19 04:51 2014.12.18 05:36
2 2015.02.27 06:40 2015.02.28 04:40 NaN NaN 1.42 8.03 14.17 6.86 9.67 386.9 429.1 1.72 2.49 2015.02.27 11:41 2015.02.27 12:51
3 2015.03.04 04:50 2015.03.04 22:00 NaN NaN 1.43 13.14 25.45 4.44 12.70 520.9 615.0 2.02 8.02 2015.03.03 20:05 2015.03.03 18:30
4 2015.03.07 04:50 2015.03.08 06:40 NaN NaN 1.43 4.70 9.94 3.25 7.15 572.0 610.9 1.77 4.43 2015.03.07 06:54 2015.03.07 15:01
5 2015.03.09 01:00 2015.03.10 16:00 NaN NaN 1.43 10.57 16.70 1.24 3.78 436.3 573.6 0.44 1.88 2015.03.08 15:22 2015.03.08 16:00
6 2015.07.06 18:24 2015.07.08 02:09 NaN NaN 1.58 3.43 8.57 5.48 11.63 381.1 425.2 1.37 3.45 2015.07.06 18:30 2015.07.06 20:32
7 2015.08.28 05:00 2015.08.29 07:20 NaN NaN 1.63 6.23 10.13 4.98 10.81 354.5 379.6 1.04 2.21 NaN NaN NaN NaN
8 2015.10.06 17:00 2015.10.07 13:54 NaN NaN 1.66 13.23 21.62 5.63 14.20 375.5 465.3 1.48 4.66 NaN NaN NaN NaN
9 2015.11.08 06:27 2015.11.09 22:00 NaN NaN 1.67 10.82 18.84 2.11 10.84 331.5 444.7 0.38 2.27 2015.11.07 11:47 NaN NaN
10 2016.01.02 03:10 2016.01.03 04:20 NaN NaN 1.66 9.25 15.82 8.26 16.50 467.7 534.1 2.96 6.95 NaN NaN NaN NaN
11 2016.01.06 01:25 2016.01.06 18:40 NaN NaN 1.66 6.86 10.42 4.65 23.77 586.7 655.2 2.65 15.13 2016.01.05 22:01 2016.01.06 20:11
12 2016.02.04 04:28 2016.02.05 00:40 2016.02.04 02:01:10 1.64 6.47 10.38 7.07 17.74 412.9 457.7 2.04 5.68 NaN NaN NaN NaN
13 2016.07.21 09:05 2016.07.22 18:10 2016.07.20 18:13:20 1.45 5.92 9.45 1.04 2.35 573.3 661.3 0.59 1.60 NaN NaN NaN NaN
14 2016.07.27 04:40 2016.07.27 16:00 2016.07.27 00:55:34 1.44 6.27 7.74 5.91 11.34 372.6 395.6 1.36 2.58 NaN NaN NaN NaN
15 2016.08.14 21:47 2016.08.15 19:42 2016.08.14 16:38:51 1.42 3.49 6.33 5.29 6.59 341.8 356.1 1.03 1.27 NaN NaN NaN NaN
16 2016.09.07 21:50 2016.09.09 10:45 NaN NaN 1.40 6.02 8.68 4.61 14.53 411.9 447.7 1.3 4.33 NaN NaN NaN NaN
17 2016.09.23 12:40 2016.09.24 21:50 2016.09.23 00:20:00 1.39 8.17 11.51 6.47 14.44 417.0 479.0 1.85 3.56 NaN NaN NaN NaN
18 2017.03.03 19:52 2017.03.07 07:32 NaN NaN 1.48 4.30 6.40 3.75 6.35 363.0 456.4 0.81 1.34 NaN NaN NaN NaN
19 2017.07.17 06:18 2017.07.18 10:40 2017.07.17 02:11:00 1.63 2.33 4.32 4.27 7.10 323.5 341.8 0.75 1.32 NaN NaN NaN NaN
20 2017.07.22 16:35 2017.07.23 20:50 2017.07.22 00:38:00 1.64 5.70 10.09 4.54 9.01 316.6 333.8 0.76 1.45 NaN NaN NaN NaN
21 2018.03.10 04:50 2018.03.11 03:55 2018.03.10 00:10:39 1.56 4.43 6.97 5.90 11.25 375.3 408.9 1.38 2.78 NaN NaN NaN NaN
22 2018.07.12 12:08 2018.07.14 09:06 NaN NaN 1.41 3.25 5.92 8.59 16.17 334.5 364.4 1.60 2.99 NaN NaN NaN NaN
23 2018.07.18 11:54 2018.07.19 06:18 NaN NaN 1.41 6.12 8.44 8.19 20.82 320.4 338.9 1.39 3.53 NaN NaN NaN NaN
24 2018.09.24 18:00 2018.09.25 16:00 NaN NaN 1.38 5.62 6.57 2.59 4.22 383.4 413.0 0.64 1.08 NaN NaN NaN NaN
