Event ID	Date-Time	Type	Instrument(s)	Location info (Event or Sub-spacecraft)	Lat.	Long.	References
1	2015-07-10T02:10:18	Outburst	NavCam	E	74	200	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
2	2015-07-19T03:38:09	Outburst	NAC	E	-24	296	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
3	2015-07-26T20:22:42	Outburst	NAC	E	−36 	75	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
4	2015-07-27T00:14:29	Outburst	NAC	E	-31	333	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
5	2015-07-28T05:23:43	Outburst	WAC	E	-4	264	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
6	2015-07-29T13:25:28	Outburst	NAC	E	-37	300	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
7	2015-08-01T10:53:15	Outburst	NAC	E	-12	196	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
8	2015-08-01T15:44:50	Outburst	NAC	E	-28	34	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
9	2015-08-03T17:27:03	Outburst	WAC	E	-75	303	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
10	2015-08-05T07:25:05	Outburst	NAC	E	-25	320	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
11	2015-08-05T08:05:15	Outburst	NAC	E	-23	318	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
12	2015-08-08T15:21:48	Outburst	NavCam	E	-30	51	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
13	2015-08-09T09:15:14	Outburst	NAC	E	-30	298	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
14	2015-08-12T17:21:20	Outburst	NAC	E	-30	58	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
15	2015-08-21T09:44:53	Outburst	NavCam	E	-32	227	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
16	2015-08-22T06:47:04	Outburst	NavCam	E	-40	168	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
17	2015-08-22T23:46:21	Outburst	WAC	E	-25	316	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
18	2015-08-23T01:39:38	Outburst	NAC	E	-53	292	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
19	2015-08-23T15:12:48	Outburst	NAC	E	-23	314	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
20	2015-08-26T07:51:04	Outburst	NAC	E	-41	42	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
21	2015-08-27T22:58:04	Outburst	NAC	E	-8	321	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
22	2015-08-28T02:29:21	Outburst	NAC	E	-21	24	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
23	2015-08-28T10:10:57	Outburst	NAC	E	-31	229	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
24	2015-09-05T08:50:02	Outburst	NAC	E	-15	26	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
25	2015-09-05T09:00:02	Outburst	NAC	E	-31	330	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
26	2015-09-10T08:59:49	Outburst	NAC	E	−25	67	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
27	2015-09-10T13:06:14	Outburst	NAC	E	−23 	292	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
28	2015-09-10T13:36:14	Outburst	NAC	E	−21 	307	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
29	2015-09-10T14:11:15	Outburst	NAC	E	−15	10	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
30	2015-09-10T18:57:41	Outburst	NAC	E	−15	10	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
31	2015-09-10T19:27:41	Outburst	NAC	E	−30 	286	Vincent et al., Summer fireworks on comet 67P, MNRAS, Vol. 462, Issue Suppl_1, 16 November 2016, pages S184-194	 
