date,EDAC
2004-03-02,0.0
2004-03-03,1.0
2004-03-04,1.0
2004-03-05,2.0
2004-03-06,2.0
2004-03-07,3.0
2004-03-08,3.0
2004-03-09,3.0
2004-03-10,1.0
2004-03-11,1.0
2004-03-12,1.0
2004-03-13,1.0
2004-03-14,1.0
2004-03-15,1.0
2004-03-16,
2004-03-17,
2004-03-18,
2004-03-19,
2004-03-20,
2004-03-21,
2004-03-22,
2004-03-23,
2004-03-24,
2004-03-25,
2004-03-26,
2004-03-27,
2004-03-28,
2004-03-29,
2004-03-30,0.0
2004-03-31,0.0
2004-06-01,17.0
2004-06-02,17.0
2004-06-03,17.0
2004-06-04,17.0
2004-06-05,18.0
2004-06-06,18.0
2004-06-07,19.0
2004-06-08,19.0
2004-06-09,19.0
2004-06-10,20.0
2004-06-11,20.0
2004-06-12,20.0
2004-06-13,20.0
2004-06-14,20.0
2004-06-15,20.0
2004-06-16,0.0
2004-06-17,0.0
2004-06-18,0.0
2004-06-19,0.0
2004-06-20,1.0
2004-06-21,1.0
2004-06-22,1.0
2004-06-23,2.0
2004-06-24,3.0
2004-06-25,3.0
2004-06-26,3.0
2004-06-27,3.0
2004-06-28,3.0
2004-06-29,3.0
2004-06-30,3.0
2004-08-01,2.0
2004-08-02,2.0
2004-08-03,2.0
2004-08-04,3.0
2004-08-05,3.0
2004-08-06,4.0
2004-08-07,5.0
2004-08-08,5.0
2004-08-09,5.0
2004-08-10,5.0
2004-08-11,5.0
2004-08-12,5.0
2004-08-13,5.0
2004-08-14,5.0
2004-08-15,5.0
2004-08-16,5.0
2004-08-17,5.0
2004-08-18,5.0
2004-08-19,5.0
2004-08-20,5.0
2004-08-21,6.0
2004-08-22,6.0
2004-08-23,7.0
2004-12-01,2.0
2004-12-02,3.0
2005-02-10,0.0
2005-02-11,0.0
2005-02-12,0.0
2005-02-13,1.0
2005-02-14,1.0
2005-02-15,1.0
2005-06-01,4.0
2005-06-02,4.0
2005-06-03,5.0
2005-06-04,6.0
2005-06-05,6.0
2005-06-06,7.0
2005-06-07,9.0
2005-06-08,9.0
2005-06-09,9.0
2005-06-10,9.0
2005-06-11,10.0
2005-06-12,10.0
2005-06-13,10.0
2005-06-14,10.0
2005-06-15,10.0
2005-06-16,11.0
2005-06-17,15.0
2005-06-18,16.0
2005-06-19,16.0
2005-06-20,18.0
2005-06-21,19.0
2005-06-22,19.0
2005-06-23,19.0
2005-06-24,19.0
2005-06-25,19.0
2005-06-26,20.0
2005-06-27,20.0
2005-06-28,20.0
2005-06-29,21.0
2005-06-30,21.0
2005-09-01,42.0
2005-09-02,42.0
2005-09-03,43.0
2005-09-04,43.0
2005-09-05,43.0
2005-09-06,43.0
2005-09-07,43.0
2005-09-08,56.0
2005-09-09,76.0
2005-09-10,
2005-09-11,
2005-09-12,
2005-09-13,
2005-09-14,
2005-09-15,0.0
2005-09-16,0.0
2005-09-17,0.0
2005-09-18,0.0
2005-09-19,0.0
2005-09-20,0.0
2005-09-21,0.0
2005-09-22,1.0
2005-09-23,1.0
2005-09-24,2.0
2005-09-25,4.0
2005-09-26,4.0
2005-09-27,4.0
2005-09-28,4.0
2005-09-29,4.0
2005-09-30,4.0
2005-12-01,16.0
2005-12-02,17.0
2005-12-03,17.0
2005-12-04,17.0
2005-12-05,17.0
2005-12-06,17.0
2005-12-07,17.0
2005-12-08,17.0
2005-12-09,17.0
2005-12-10,18.0
2005-12-11,20.0
2005-12-12,21.0
2005-12-13,21.0
2005-12-14,21.0
2005-12-15,22.0
2005-12-16,23.0
2005-12-17,23.0
2005-12-18,24.0
2005-12-19,24.0
2005-12-20,26.0
2005-12-21,26.0
2005-12-22,26.0
2005-12-23,26.0
2005-12-24,26.0
2005-12-25,26.0
2005-12-26,26.0
2005-12-27,26.0
2005-12-28,26.0
2005-12-29,26.0
2005-12-30,26.0
2005-12-31,26.0
2006-03-01,48.0
2006-03-02,48.0
2006-03-03,48.0
2006-03-04,49.0
2006-03-05,53.0
2006-03-06,53.0
2006-03-07,53.0
2006-03-08,53.0
2006-03-09,54.0
2006-03-10,58.0
2006-03-11,58.0
2006-03-12,58.0
2006-03-13,58.0
2006-03-14,58.0
2006-03-15,60.0
2006-03-16,60.0
2006-03-17,60.0
2006-03-18,60.0
2006-03-19,60.0
2006-03-20,61.0
2006-03-21,61.0
2006-03-22,61.0
2006-03-23,61.0
2006-03-24,62.0
2006-03-25,62.0
2006-03-26,62.0
2006-03-27,62.0
2006-03-28,63.0
2006-03-29,63.0
2006-03-30,63.0
2006-03-31,63.0
2006-06-01,84.0
2006-06-02,84.0
2006-06-03,84.0
2006-06-04,85.0
2006-06-05,85.0
2006-06-06,85.0
2006-06-07,85.0
2006-06-08,86.0
2006-06-09,87.0
2006-06-10,87.0
2006-06-11,87.0
2006-06-12,87.0
2006-06-13,88.0
2006-06-14,89.0
2006-06-15,89.0
2006-06-16,89.0
2006-06-17,89.0
2006-06-18,89.0
2006-06-19,89.0
2006-06-20,89.0
2006-06-21,90.0
2006-06-22,91.0
2006-06-23,1.0
2006-06-24,1.0
2006-06-25,1.0
2006-06-26,2.0
2006-06-27,2.0
2006-06-28,2.0
2006-06-29,3.0
2006-06-30,3.0
2006-08-01,14.0
2006-08-02,14.0
2006-10-12,0.0
2006-10-13,0.0
2007-03-02,1.0
2007-03-03,1.0
2007-03-04,2.0
2007-03-05,2.0
2007-03-06,2.0
2007-03-07,3.0
2007-03-08,4.0
2007-03-09,4.0
2007-03-10,4.0
2007-03-11,5.0
2007-03-12,5.0
2007-03-13,5.0
2007-03-14,5.0
2007-03-15,5.0
2007-03-16,6.0
2007-03-17,6.0
2007-03-18,6.0
2007-03-19,6.0
2007-03-20,7.0
2007-03-21,7.0
2007-03-22,8.0
2007-03-23,8.0
2007-03-24,8.0
2007-03-25,10.0
2007-03-26,11.0
2007-03-27,11.0
2007-03-28,11.0
2007-03-29,12.0
2007-03-30,12.0
2007-03-31,13.0
2007-06-01,9.0
2007-06-02,10.0
2007-06-03,10.0
2007-06-04,10.0
2007-06-05,12.0
2007-06-06,13.0
2007-06-07,13.0
2007-06-08,13.0
2007-06-09,13.0
2007-06-10,13.0
2007-06-11,15.0
2007-06-12,16.0
2007-06-13,17.0
2007-06-14,17.0
2007-06-15,17.0
2007-06-16,18.0
2007-06-17,19.0
2007-06-18,20.0
2007-06-19,20.0
2007-06-20,22.0
2007-06-21,22.0
2007-06-22,22.0
2007-06-23,22.0
2007-06-24,23.0
2007-06-25,25.0
2007-06-26,27.0
2007-06-27,27.0
2007-06-28,27.0
2007-06-29,28.0
2007-06-30,28.0
2007-09-01,56.0
2007-09-02,57.0
2007-09-03,58.0
2007-09-04,59.0
2007-09-05,59.0
2007-09-06,59.0
2007-09-07,61.0
2007-09-08,61.0
2007-09-09,61.0
2007-09-10,61.0
2007-09-11,61.0
2007-09-12,61.0
2007-09-13,62.0
2007-09-14,62.0
2007-09-15,62.0
2007-09-16,62.0
2007-09-17,65.0
2007-09-18,66.0
2007-09-19,66.0
2007-09-20,66.0
2007-09-21,66.0
2007-09-22,66.0
2007-09-23,66.0
2007-09-24,66.0
2007-09-25,66.0
2007-09-26,67.0
2007-09-27,68.0
2007-09-28,68.0
2007-09-29,68.0
2007-09-30,68.0
2007-12-01,98.0
2007-12-02,99.0
2007-12-03,101.0
2007-12-04,101.0
2007-12-05,101.0
2007-12-06,0.0
2007-12-07,0.0
2007-12-08,0.0
2007-12-09,0.0
2007-12-10,0.0
2007-12-11,1.0
2007-12-12,1.0
2007-12-13,1.0
2007-12-14,2.0
2007-12-15,3.0
2007-12-16,3.0
2007-12-17,3.0
2007-12-18,4.0
2007-12-19,4.0
2007-12-20,4.0
2007-12-21,4.0
2007-12-22,4.0
2007-12-23,4.0
2007-12-24,5.0
2007-12-25,5.0
2007-12-26,7.0
2007-12-27,7.0
2007-12-28,8.0
2007-12-29,9.0
2007-12-30,9.0
2007-12-31,9.0
2008-03-01,30.0
2008-03-02,31.0
2008-03-03,31.0
2008-03-04,32.0
2008-03-05,32.0
2008-03-06,33.0
2008-03-07,33.0
2008-03-08,34.0
2008-03-09,34.0
2008-03-10,34.0
2008-03-11,34.0
2008-03-12,34.0
2008-03-13,34.0
2008-03-14,34.0
2008-03-15,35.0
2008-03-16,35.0
2008-03-17,35.0
2008-03-18,35.0
2008-03-19,35.0
2008-03-20,36.0
2008-03-21,37.0
2008-03-22,37.0
2008-03-23,37.0
2008-03-24,38.0
2008-03-25,39.0
2008-09-01,20.0
2008-09-02,22.0
2008-09-03,23.0
2008-09-04,23.0
2008-09-05,23.0
2008-09-06,25.0
2008-09-07,26.0
2008-09-08,27.0
2008-09-09,28.0
2008-09-10,28.0
2008-09-11,30.0
2008-09-12,30.0
2008-09-13,31.0
2008-09-14,31.0
2008-09-15,32.0
2008-09-16,33.0
2008-09-17,33.0
2008-09-18,34.0
2008-09-19,35.0
2008-09-20,35.0
2008-09-21,36.0
2008-09-22,36.0
2008-09-23,37.0
2008-09-24,37.0
2008-09-25,39.0
2008-09-26,39.0
2008-09-27,41.0
2008-09-28,43.0
2008-09-29,44.0
2008-09-30,44.0
2008-12-01,67.0
2008-12-02,67.0
2008-12-03,67.0
2008-12-04,67.0
2008-12-05,67.0
2008-12-06,67.0
2008-12-07,67.0
2008-12-08,67.0
2008-12-09,67.0
2008-12-10,67.0
2008-12-11,67.0
2008-12-12,67.0
2008-12-13,67.0
2008-12-14,68.0
2008-12-15,69.0
2008-12-16,70.0
2008-12-17,71.0
2008-12-18,71.0
2008-12-19,72.0
2008-12-20,72.0
2008-12-21,73.0
2008-12-22,74.0
2008-12-23,74.0
2008-12-24,75.0
2008-12-25,76.0
2008-12-26,77.0
2008-12-27,78.0
2008-12-28,80.0
2008-12-29,80.0
2008-12-30,81.0
2008-12-31,82.0
2009-03-01,19.0
2009-03-02,19.0
2009-03-03,19.0
2009-03-04,21.0
2009-03-05,21.0
2009-03-06,21.0
2009-03-07,21.0
2009-03-08,21.0
2009-03-09,21.0
2009-03-10,23.0
2009-03-11,23.0
2009-03-12,24.0
2009-03-13,25.0
2009-03-14,27.0
2009-03-15,27.0
2009-03-16,28.0
2009-03-17,29.0
2009-03-18,29.0
2009-03-19,29.0
2009-03-20,30.0
2009-03-21,31.0
2009-03-22,32.0
2009-03-23,32.0
2009-03-24,32.0
2009-03-25,34.0
2009-03-26,34.0
