date,EDAC
2004-03-02,0.0
2004-03-03,0.0
2004-03-04,0.0
2004-03-05,0.0
2004-03-06,0.0
2004-03-07,0.0
2004-03-08,0.0
2004-03-09,1.0
2004-03-10,1.0
2004-03-11,1.0
2004-03-12,1.0
2004-03-13,1.0
2004-03-14,1.0
2004-03-15,1.0
2004-03-16,1.0
2004-03-17,1.0
2004-03-18,1.0
2004-03-19,1.0
2004-03-20,1.0
2004-03-21,1.0
2004-03-22,1.0
2004-03-23,1.0
2004-03-24,1.0
2004-03-25,1.0
2004-03-26,1.0
2004-03-27,1.0
2004-03-28,1.0
2004-03-29,1.0
2004-03-30,1.0
2004-03-31,0.0
2004-06-01,4.0
2004-06-02,4.0
2004-06-03,4.0
2004-06-04,4.0
2004-06-05,4.0
2004-06-06,4.0
2004-06-07,4.0
2004-06-08,4.0
2004-06-09,4.0
2004-06-10,4.0
2004-06-11,4.0
2004-06-12,4.0
2004-06-13,4.0
2004-06-14,4.0
2004-06-15,0.0
2004-06-16,1.0
2004-06-17,1.0
2004-06-18,0.0
2004-06-19,0.0
2004-06-20,0.0
2004-06-21,0.0
2004-06-22,0.0
2004-06-23,0.0
2004-06-24,0.0
2004-06-25,0.0
2004-06-26,0.0
2004-06-27,0.0
2004-06-28,0.0
2004-06-29,0.0
2004-06-30,0.0
2004-09-01,0.0
2004-09-02,0.0
2004-09-03,0.0
2004-09-04,0.0
2004-09-05,0.0
2004-09-06,0.0
2004-09-07,0.0
2004-09-08,0.0
2004-09-09,0.0
2004-09-10,0.0
2004-09-11,0.0
2004-09-12,0.0
2004-09-13,0.0
2004-09-14,0.0
2004-09-15,0.0
2004-09-16,0.0
2004-09-17,0.0
2004-09-18,0.0
2004-09-19,0.0
2004-09-20,0.0
2004-09-21,0.0
2004-09-22,0.0
2004-09-23,0.0
2004-09-24,0.0
2004-09-25,0.0
2004-09-26,0.0
2004-09-27,0.0
2004-09-28,0.0
2004-09-29,0.0
2004-09-30,0.0
2004-12-01,0.0
2004-12-02,0.0
2004-12-03,0.0
2004-12-04,0.0
2004-12-05,0.0
2004-12-06,0.0
2004-12-07,0.0
2004-12-08,1.0
2004-12-09,2.0
2004-12-10,2.0
2004-12-11,2.0
2004-12-12,4.0
2004-12-13,4.0
2004-12-14,4.0
2004-12-15,5.0
2004-12-16,7.0
2004-12-17,7.0
2004-12-18,7.0
2004-12-19,8.0
2004-12-20,8.0
2004-12-21,9.0
2004-12-22,9.0
2004-12-23,9.0
2004-12-24,9.0
2004-12-25,9.0
2004-12-26,9.0
2004-12-27,9.0
2004-12-28,9.0
2004-12-29,9.0
2004-12-30,9.0
2004-12-31,9.0
2005-03-01,4.0
2005-03-02,5.0
2005-03-03,6.0
2005-03-04,7.0
2005-03-05,7.0
2005-03-06,8.0
2005-03-07,8.0
2005-03-08,8.0
2005-03-09,8.0
2005-03-10,8.0
2005-03-11,8.0
2005-03-12,8.0
