date,EDAC
2004-06-14,0.0
2004-09-11,0.0
2004-09-12,
2004-09-13,
2004-09-14,
2004-09-15,
2004-09-16,
2004-09-17,
2004-09-18,
2004-09-19,
2004-09-20,
2004-09-21,
2004-09-22,
2004-09-23,
2004-09-24,
2004-09-25,
2004-09-26,0.0
2004-09-27,0.0
2004-09-28,0.0
2004-10-09,0.0
2005-03-04,0.0
2005-03-05,0.0
2005-06-28,0.0
2005-06-29,0.0
2005-06-30,0.0
2005-09-29,0.0
2006-03-01,0.0
2006-03-02,
2006-03-03,
2006-03-04,
2006-03-05,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,0.0
2006-12-03,0.0
2007-02-24,1.0
2007-05-09,0.0
2007-09-16,0.0
2007-09-17,0.0
2007-12-16,0.0
2008-03-24,0.0
2008-09-01,13.0
2008-09-02,15.0
2008-09-03,15.0
2008-09-04,16.0
2008-09-05,16.0
2008-09-06,0.0
2009-03-25,0.0
2009-03-26,
2009-03-27,
2009-03-28,0.0
2009-03-29,0.0
2009-09-12,0.0
2009-09-13,0.0
2009-09-14,0.0
2009-11-13,0.0
2009-11-14,
2009-11-15,
2009-11-16,
2009-11-17,
2009-11-18,
2009-11-19,
2009-11-20,
2009-11-21,0.0
2009-11-22,
2009-11-23,
2009-11-24,
2009-11-25,
2009-11-26,
2009-11-27,
2009-11-28,
2009-11-29,
2009-11-30,0.0
2010-03-14,1.0
2010-03-15,1.0
2010-06-01,1.0
2010-06-02,1.0
2010-06-03,1.0
2010-06-04,1.0
2010-06-05,1.0
2010-06-06,1.0
2010-06-07,1.0
2010-06-08,2.0
2010-06-09,3.0
2010-06-10,3.0
2010-06-11,3.0
2010-06-12,4.0
2010-06-13,4.0
2010-06-14,4.0
2010-06-15,4.0
2010-06-16,4.0
2010-06-17,6.0
2010-06-18,6.0
2010-06-19,6.0
2010-06-20,7.0
2010-06-21,7.0
2010-06-22,7.0
2010-06-23,7.0
2010-06-24,7.0
2010-06-25,7.0
2010-06-26,8.0
2010-06-27,8.0
2010-06-28,8.0
2010-06-29,8.0
2010-06-30,8.0
2010-09-15,0.0
2011-03-25,0.0
2014-03-11,0.0
2014-03-12,
2014-03-13,
2014-03-14,
2014-03-15,
2014-03-16,
2014-03-17,
2014-03-18,
2014-03-19,
2014-03-20,
2014-03-21,
2014-03-22,
2014-03-23,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,0.0
2014-06-01,10.0
2014-06-02,10.0
2014-06-03,10.0
2014-06-04,10.0
2014-06-05,10.0
2014-06-06,12.0
2014-06-07,12.0
2014-06-08,12.0
2014-06-09,12.0
2014-06-10,12.0
2014-06-11,12.0
2014-06-12,12.0
2014-06-13,12.0
2014-06-14,12.0
2014-06-15,12.0
2014-06-16,12.0
2014-06-17,12.0
2014-06-18,13.0
2014-06-19,14.0
2014-06-20,14.0
2014-06-21,14.0
2014-06-22,14.0
2014-06-23,15.0
2014-06-24,15.0
2014-06-25,15.0
2014-06-26,15.0
2014-06-27,15.0
2014-06-28,16.0
2014-06-29,16.0
2014-06-30,16.0
2014-09-01,4.0
2014-09-02,4.0
2014-09-03,5.0
2014-09-04,5.0
2014-09-05,5.0
2014-09-06,6.0
2014-09-07,8.0
2014-09-08,9.0
2014-09-09,9.0
2014-09-10,9.0
2014-09-11,9.0
2014-09-12,9.0
2014-09-13,0.0
2014-09-14,0.0
2014-09-15,1.0
2014-09-16,1.0
2014-09-17,1.0
2014-09-18,2.0
2014-09-19,2.0
2014-09-20,2.0
2014-09-21,2.0
2014-09-22,2.0
2014-09-23,2.0
2014-09-24,3.0
2014-09-25,3.0
2014-09-26,4.0
2014-09-27,4.0
2014-09-28,4.0
2014-09-29,4.0
2014-09-30,4.0
2014-12-01,1.0
2014-12-02,2.0
2014-12-03,2.0
2014-12-04,2.0
2014-12-05,2.0
2014-12-06,2.0
2014-12-07,2.0
2014-12-08,1.0
2014-12-09,1.0
2014-12-10,1.0
2014-12-11,1.0
2014-12-12,1.0
2014-12-13,1.0
2014-12-14,1.0
2014-12-15,1.0
2014-12-16,1.0
2014-12-17,2.0
2014-12-18,2.0
2014-12-19,3.0
2014-12-20,3.0
2014-12-21,4.0
2014-12-22,4.0
2014-12-23,4.0
2014-12-24,4.0
2014-12-25,4.0
2014-12-26,4.0
2014-12-27,5.0
2014-12-28,6.0
2014-12-29,7.0
2014-12-30,7.0
2014-12-31,7.0
2015-03-01,7.0
2015-03-02,7.0
2015-03-03,7.0
2015-03-04,7.0
2015-03-05,7.0
2015-03-06,7.0
2015-03-07,7.0
2015-03-08,7.0
2015-03-09,7.0
2015-03-10,7.0
2015-03-11,7.0
2015-03-12,8.0
2015-03-13,8.0
2015-03-14,8.0
2015-03-15,8.0
2015-03-16,8.0
2015-03-17,8.0
2015-03-18,9.0
2015-03-19,9.0
2015-03-20,9.0
2015-03-21,9.0
