date,EDAC
2004-03-02,42.0
2004-03-03,42.0
2004-03-04,43.0
2004-03-05,753.0
2004-03-06,754.0
2004-03-07,754.0
2004-03-08,754.0
2004-03-09,755.0
2004-03-10,755.0
2004-03-11,756.0
2004-03-12,757.0
2004-03-13,757.0
2004-03-14,757.0
2004-03-15,757.0
2004-03-16,757.0
2004-03-17,758.0
2004-03-18,759.0
2004-03-19,759.0
2004-03-20,759.0
2004-03-21,759.0
2004-03-22,759.0
2004-03-23,759.0
2004-03-24,759.0
2004-03-25,761.0
2004-03-26,764.0
2004-03-27,767.0
2004-03-28,767.0
2004-03-29,768.0
2004-03-30,768.0
2004-03-31,769.0
2004-04-01,770.0
2004-04-02,770.0
2004-04-03,13760.0
2004-04-04,13817.0
2004-04-05,13817.0
2004-04-06,13817.0
2004-04-07,13819.0
2004-04-08,13822.0
2004-04-09,13823.0
2004-04-10,13864.0
2004-04-11,13864.0
2004-04-12,13864.0
2004-04-13,13867.0
2004-04-14,13867.0
2004-04-15,13867.0
2004-04-16,13868.0
2004-04-17,13870.0
2004-04-18,13870.0
2004-04-19,13870.0
2004-04-20,13870.0
2004-04-21,13870.0
2004-04-22,15213.0
2004-04-23,15213.0
2004-04-24,15214.0
2004-04-25,15214.0
2004-04-26,15214.0
2004-04-27,15214.0
2004-04-28,15216.0
2004-04-29,15216.0
2004-04-30,15216.0
2004-05-01,15217.0
2004-05-02,15218.0
2004-05-03,15220.0
2004-05-04,15220.0
2004-05-05,15220.0
2004-05-06,15221.0
2004-05-07,15221.0
2004-05-08,15222.0
2004-05-09,15223.0
2004-05-10,15223.0
2004-05-11,15223.0
2004-05-12,15224.0
2004-05-13,15226.0
2004-05-14,15227.0
2004-05-15,15228.0
2004-05-16,15228.0
2004-05-17,15230.0
2004-05-18,15230.0
2004-05-19,15232.0
2004-05-20,15232.0
2004-05-21,15232.0
2004-05-22,15234.0
2004-05-23,15236.0
2004-05-24,15236.0
2004-05-25,15238.0
2004-05-26,15238.0
2004-05-27,15239.0
2004-05-28,15241.0
2004-05-29,15242.0
2004-05-30,15242.0
2004-05-31,16793.0
2004-06-01,16793.0
2004-06-02,16794.0
2004-06-03,16794.0
2004-06-04,16796.0
2004-06-05,16796.0
2004-06-06,16796.0
2004-06-07,16796.0
2004-06-08,16797.0
2004-06-09,16797.0
2004-06-10,16798.0
2004-06-11,16799.0
2004-06-12,16799.0
2004-06-13,16800.0
2004-06-14,16800.0
2004-06-15,16802.0
2004-06-16,16802.0
2004-06-17,16803.0
2004-06-18,16803.0
2004-06-19,16804.0
2004-06-20,16804.0
2004-06-21,18121.0
2004-06-22,18122.0
2004-06-23,18122.0
2004-06-24,18125.0
2004-06-25,18125.0
2004-06-26,18127.0
2004-06-27,18130.0
2004-06-28,18130.0
2004-06-29,18132.0
2004-06-30,18133.0
2004-07-01,18134.0
2004-07-02,18136.0
2004-07-03,18137.0
2004-07-04,18396.0
2004-07-05,18396.0
2004-07-06,18396.0
2004-07-07,18399.0
2004-07-08,18399.0
2004-07-09,18400.0
2004-07-10,18400.0
2004-07-11,18402.0
2004-07-12,18402.0
2004-07-13,18403.0
2004-07-14,18405.0
2004-07-15,18405.0
2004-07-16,18405.0
2004-07-17,18405.0
2004-07-18,18405.0
2004-07-19,18407.0
2004-07-20,18407.0
2004-07-21,18408.0
2004-07-22,18408.0
2004-07-23,0.0
2004-07-24,2.0
2004-07-25,2.0
2004-07-26,4.0
2004-07-27,5.0
2004-07-28,5.0
2004-07-29,6.0
2004-07-30,6.0
2004-07-31,9.0
2004-08-01,9.0
2004-08-02,11.0
2004-08-03,12.0
2004-08-04,13.0
2004-08-05,13.0
2004-08-06,14.0
2004-08-07,14.0
2004-08-08,16.0
2004-08-09,19.0
2004-08-10,19.0
2004-08-11,21.0
2004-08-12,23.0
2004-08-13,23.0
2004-08-14,24.0
2004-08-15,24.0
2004-08-16,24.0
2004-08-17,24.0
2004-08-18,26.0
2004-08-19,26.0
2004-08-20,27.0
2004-08-21,28.0
2004-08-22,29.0
2004-08-23,31.0
2004-08-24,31.0
2004-08-25,32.0
2004-08-26,33.0
2004-08-27,35.0
2004-08-28,36.0
2004-08-29,36.0
2004-08-30,37.0
2004-08-31,37.0
2004-09-01,37.0
2004-09-02,37.0
2004-09-03,37.0
2004-09-04,38.0
2004-09-05,38.0
2004-09-06,38.0
2004-09-07,38.0
2004-09-08,40.0
2004-09-09,40.0
2004-09-10,40.0
2004-09-11,43.0
2004-09-12,46.0
2004-09-13,47.0
2004-09-14,47.0
2004-09-15,50.0
2004-09-16,50.0
2004-09-17,51.0
2004-09-18,52.0
2004-09-19,52.0
2004-09-20,52.0
2004-09-21,54.0
2004-09-22,56.0
2004-09-23,56.0
2004-09-24,58.0
2004-09-25,58.0
2004-09-26,59.0
2004-09-27,60.0
2004-09-28,62.0
2004-09-29,62.0
2004-09-30,62.0
2004-10-01,62.0
2004-10-02,62.0
2004-10-03,62.0
2004-10-04,64.0
2004-10-05,64.0
2004-10-06,66.0
2004-10-07,68.0
2004-10-08,68.0
2004-10-09,69.0
2004-10-10,71.0
2004-10-11,72.0
2004-10-12,73.0
2004-10-13,75.0
2004-10-14,77.0
2004-10-15,81.0
2004-10-16,82.0
2004-10-17,83.0
2004-10-18,84.0
2004-10-19,84.0
2004-10-20,85.0
2004-10-21,89.0
2004-10-22,90.0
2004-10-23,91.0
2004-10-24,93.0
2004-10-25,95.0
2004-10-26,98.0
2004-10-27,98.0
2004-10-28,99.0
2004-10-29,101.0
2004-10-30,101.0
2004-10-31,103.0
2004-11-01,103.0
2004-11-02,104.0
2004-11-03,104.0
2004-11-04,104.0
2004-11-05,108.0
2004-11-06,109.0
2004-11-07,109.0
2004-11-08,110.0
2004-11-09,110.0
2004-11-10,110.0
2004-11-11,111.0
2004-11-12,111.0
2004-11-13,112.0
2004-11-14,112.0
2004-11-15,112.0
2004-11-16,113.0
2004-11-17,113.0
2004-11-18,115.0
2004-11-19,117.0
2004-11-20,120.0
2004-11-21,121.0
2004-11-22,121.0
2004-11-23,121.0
2004-11-24,121.0
2004-11-25,122.0
2004-11-26,123.0
2004-11-27,123.0
2004-11-28,123.0
2004-11-29,123.0
2004-11-30,126.0
2004-12-01,128.0
2004-12-02,129.0
2004-12-03,133.0
2004-12-04,135.0
2004-12-05,136.0
2004-12-06,136.0
2004-12-07,136.0
2004-12-08,137.0
2004-12-09,137.0
2004-12-10,138.0
2004-12-11,138.0
2004-12-12,140.0
2004-12-13,141.0
2004-12-14,141.0
2004-12-15,143.0
2004-12-16,144.0
2004-12-17,144.0
2004-12-18,145.0
2004-12-19,146.0
2004-12-20,146.0
2004-12-21,147.0
2004-12-22,149.0
2004-12-23,149.0
2004-12-24,149.0
2004-12-25,150.0
2004-12-26,152.0
2004-12-27,153.0
2004-12-28,155.0
2004-12-29,155.0
2004-12-30,159.0
2004-12-31,161.0
2005-01-01,164.0
2005-01-02,164.0
2005-01-03,165.0
2005-01-04,166.0
2005-01-05,167.0
2005-01-06,167.0
2005-01-07,168.0
2005-01-08,169.0
2005-01-09,170.0
2005-01-10,170.0
2005-01-11,171.0
2005-01-12,172.0
2005-01-13,172.0
2005-01-14,173.0
2005-01-15,174.0
2005-01-16,174.0
2005-01-17,181.0
2005-01-18,183.0
2005-01-19,183.0
2005-01-20,233.0
2005-01-21,234.0
2005-01-22,234.0
2005-01-23,234.0
2005-01-24,234.0
2005-01-25,234.0
2005-01-26,235.0
2005-01-27,235.0
2005-01-28,235.0
2005-01-29,237.0
2005-01-30,240.0
2005-01-31,241.0
2005-02-01,241.0
2005-02-02,241.0
2005-02-03,241.0
2005-02-04,243.0
2005-02-05,244.0
2005-02-06,244.0
2005-02-07,245.0
2005-02-08,246.0
2005-02-09,248.0
2005-02-10,249.0
2005-02-11,250.0
2005-02-12,250.0
2005-02-13,254.0
2005-02-14,256.0
2005-02-15,256.0
2005-02-16,258.0
2005-02-17,258.0
2005-02-18,258.0
2005-02-19,259.0
2005-02-20,259.0
2005-02-21,261.0
2005-02-22,261.0
2005-02-23,261.0
2005-02-24,261.0
2005-02-25,264.0
2005-02-26,266.0
2005-02-27,267.0
2005-02-28,267.0
2005-03-01,269.0
2005-03-02,269.0
2005-03-03,270.0
2005-03-04,281.0
2005-03-05,282.0
2005-03-06,285.0
2005-03-07,285.0
2005-03-08,286.0
2005-03-09,286.0
2005-03-10,287.0
2005-03-11,289.0
2005-03-12,290.0
2005-03-13,293.0
2005-03-14,293.0
2005-03-15,293.0
2005-03-16,294.0
2005-03-17,295.0
2005-03-18,298.0
2005-03-19,300.0
2005-03-20,302.0
2005-03-21,303.0
2005-03-22,304.0
2005-03-23,305.0
2005-03-24,305.0
2005-03-25,306.0
2005-03-26,306.0
2005-03-27,309.0
2005-03-28,310.0
2005-03-29,310.0
2005-03-30,311.0
2005-03-31,312.0
2005-04-01,313.0
2005-04-02,315.0
2005-04-03,317.0
2005-04-04,319.0
2005-04-05,322.0
2005-04-06,324.0
2005-04-07,326.0
2005-04-08,326.0
2005-04-09,327.0
2005-04-10,328.0
2005-04-11,329.0
2005-04-12,330.0
2005-04-13,330.0
2005-04-14,331.0
2005-04-15,332.0
2005-04-16,334.0
2005-04-17,336.0
2005-04-18,337.0
2005-04-19,338.0
2005-04-20,339.0
2005-04-21,340.0
2005-04-22,340.0
2005-04-23,342.0
2005-04-24,343.0
2005-04-25,343.0
2005-04-26,345.0
2005-04-27,346.0
2005-04-28,348.0
2005-04-29,348.0
2005-04-30,349.0
2005-05-01,351.0
2005-05-02,354.0
2005-05-03,355.0
2005-05-04,356.0
2005-05-05,357.0
2005-05-06,358.0
2005-05-07,359.0
2005-05-08,360.0
2005-05-09,363.0
2005-05-10,363.0
2005-05-11,364.0
2005-05-12,364.0
2005-05-13,365.0
2005-05-14,366.0
2005-05-15,367.0
2005-05-16,367.0
2005-05-17,368.0
2005-05-18,369.0
2005-05-19,369.0
2005-05-20,369.0
2005-05-21,370.0
2005-05-22,371.0
2005-05-23,371.0
2005-05-24,372.0
2005-05-25,373.0
2005-05-26,373.0
2005-05-27,374.0
2005-05-28,376.0
2005-05-29,378.0
2005-05-30,378.0
2005-05-31,379.0
2005-06-01,380.0
2005-06-02,380.0
2005-06-03,380.0
2005-06-04,382.0
2005-06-05,382.0
2005-06-06,383.0
2005-06-07,383.0
2005-06-08,383.0
2005-06-09,384.0
2005-06-10,384.0
2005-06-11,385.0
2005-06-12,386.0
2005-06-13,387.0
2005-06-14,387.0
2005-06-15,387.0
2005-06-16,389.0
2005-06-17,390.0
2005-06-18,391.0
2005-06-19,394.0
2005-06-20,394.0
2005-06-21,394.0
2005-06-22,394.0
2005-06-23,395.0
2005-06-24,396.0
2005-06-25,396.0
2005-06-26,397.0
2005-06-27,398.0
2005-06-28,401.0
2005-06-29,401.0
2005-06-30,401.0
2005-07-01,401.0
2005-07-02,401.0
2005-07-03,402.0
2005-07-04,404.0
2005-07-05,404.0
2005-07-06,407.0
2005-07-07,410.0
2005-07-08,410.0
2005-07-09,411.0
2005-07-10,415.0
2005-07-11,416.0
2005-07-12,419.0
2005-07-13,420.0
2005-07-14,420.0
2005-07-15,420.0
2005-07-16,421.0
2005-07-17,421.0
2005-07-18,423.0
2005-07-19,425.0
2005-07-20,427.0
2005-07-21,428.0
2005-07-22,428.0
2005-07-23,430.0
2005-07-24,431.0
2005-07-25,432.0
2005-07-26,435.0
2005-07-27,437.0
2005-07-28,439.0
2005-07-29,439.0
2005-07-30,441.0
2005-07-31,445.0
2005-08-01,446.0
2005-08-02,447.0
2005-08-03,448.0
2005-08-04,449.0
2005-08-05,449.0
2005-08-06,450.0
2005-08-07,450.0
2005-08-08,454.0
2005-08-09,456.0
2005-08-10,456.0
2005-08-11,457.0
2005-08-12,458.0
2005-08-13,459.0
2005-08-14,459.0
2005-08-15,459.0
2005-08-16,459.0
2005-08-17,461.0
2005-08-18,462.0
2005-08-19,462.0
2005-08-20,462.0
2005-08-21,465.0
2005-08-22,465.0
2005-08-23,467.0
2005-08-24,468.0
2005-08-25,469.0
2005-08-26,470.0
2005-08-27,472.0
2005-08-28,472.0
2005-08-29,473.0
2005-08-30,473.0
2005-08-31,474.0
2005-09-01,474.0
2005-09-02,476.0
2005-09-03,478.0
2005-09-04,478.0
2005-09-05,479.0
2005-09-06,480.0
2005-09-07,482.0
2005-09-08,562.0
2005-09-09,658.0
2005-09-10,662.0
2005-09-11,662.0
2005-09-12,662.0
2005-09-13,662.0
2005-09-14,664.0
2005-09-15,664.0
2005-09-16,664.0
2005-09-17,664.0
2005-09-18,664.0
2005-09-19,664.0
2005-09-20,666.0
2005-09-21,667.0
2005-09-22,669.0
2005-09-23,671.0
2005-09-24,672.0
2005-09-25,672.0
2005-09-26,674.0
2005-09-27,674.0
2005-09-28,674.0
2005-09-29,675.0
2005-09-30,675.0
2005-10-01,678.0
2005-10-02,678.0
2005-10-03,680.0
2005-10-04,680.0
2005-10-05,680.0
2005-10-06,680.0
2005-10-07,680.0
2005-10-08,680.0
2005-10-09,682.0
2005-10-10,683.0
2005-10-11,683.0
2005-10-12,683.0
2005-10-13,684.0
2005-10-14,686.0
2005-10-15,688.0
2005-10-16,688.0
2005-10-17,688.0
2005-10-18,688.0
2005-10-19,688.0
2005-10-20,690.0
2005-10-21,692.0
2005-10-22,693.0
2005-10-23,694.0
2005-10-24,696.0
2005-10-25,697.0
2005-10-26,697.0
2005-10-27,697.0
2005-10-28,698.0
2005-10-29,698.0
2005-10-30,699.0
2005-10-31,699.0
2005-11-01,701.0
2005-11-02,702.0
2005-11-03,702.0
2005-11-04,703.0
2005-11-05,704.0
2005-11-06,705.0
2005-11-07,705.0
2005-11-08,706.0
2005-11-09,707.0
2005-11-10,708.0
2005-11-11,708.0
2005-11-12,708.0
2005-11-13,708.0
2005-11-14,710.0
2005-11-15,711.0
2005-11-16,711.0
2005-11-17,714.0
2005-11-18,714.0
2005-11-19,714.0
2005-11-20,715.0
2005-11-21,720.0
