date,EDAC
2004-03-02,125.0
2004-03-03,125.0
2004-03-04,125.0
2004-03-05,126.0
2004-03-06,128.0
2004-03-07,129.0
2004-03-08,129.0
2004-03-09,130.0
2004-03-10,130.0
2004-03-11,130.0
2004-03-12,131.0
2004-03-13,131.0
2004-03-14,132.0
2004-03-15,5751.0
2004-03-16,5751.0
2004-03-17,5751.0
2004-03-18,5752.0
2004-03-19,5753.0
2004-03-20,5754.0
2004-03-21,5759.0
2004-03-22,5760.0
2004-03-23,5760.0
2004-03-24,5762.0
2004-03-25,5762.0
2004-03-26,5765.0
2004-03-27,5766.0
2004-03-28,5767.0
2004-03-29,5768.0
2004-03-30,5770.0
2004-03-31,5770.0
2004-04-01,5771.0
2004-04-02,5771.0
2004-04-03,5774.0
2004-04-04,5776.0
2004-04-05,5776.0
2004-04-06,5776.0
2004-04-07,5776.0
2004-04-08,5777.0
2004-04-09,5778.0
2004-04-10,5781.0
2004-04-11,5781.0
2004-04-12,5783.0
2004-04-13,5784.0
2004-04-14,5784.0
2004-04-15,5784.0
2004-04-16,5784.0
2004-04-17,5784.0
2004-04-18,5788.0
2004-04-19,5790.0
2004-04-20,5790.0
2004-04-21,5790.0
2004-04-22,5791.0
2004-04-23,5794.0
2004-04-24,5797.0
2004-04-25,5798.0
2004-04-26,5799.0
2004-04-27,5872.0
2004-04-28,5872.0
2004-04-29,5872.0
2004-04-30,5874.0
2004-05-01,5877.0
2004-05-02,5878.0
2004-05-03,5879.0
2004-05-04,5880.0
2004-05-05,5881.0
2004-05-06,5882.0
2004-05-07,5882.0
2004-05-08,5882.0
2004-05-09,5882.0
2004-05-10,5882.0
2004-05-11,5883.0
2004-05-12,5885.0
2004-05-13,5885.0
2004-05-14,5886.0
2004-05-15,5886.0
2004-05-16,5888.0
2004-05-17,5888.0
2004-05-18,5889.0
2004-05-19,5892.0
2004-05-20,5893.0
2004-05-21,5893.0
2004-05-22,5896.0
2004-05-23,5897.0
2004-05-24,5898.0
