,n_hidden,n_layers,dropout,lr,n_epochs,accuracy,f1,precision,recall
0,3,1,0.0,0.001,5,0.8371415356151711,0.19057471264367817,0.10916513036607849,0.7495479204339964
1,3,1,0.0,0.001,10,0.8612164662349676,0.21994020538151565,0.12843479580992864,0.7649186256781193
2,3,1,0.2,0.001,5,0.7974098057354302,0.1665080875356803,0.09304551254785198,0.7911392405063291
3,3,1,0.2,0.001,10,0.8472941720629047,0.20798848506657072,0.11990042870972203,0.7839059674502713
4,3,2,0.0,0.001,5,0.8272432932469935,0.19243243243243244,0.10928290766208251,0.8047016274864376
5,3,2,0.0,0.001,10,0.8741443108233118,0.2388811188811189,0.1412971542025149,0.7721518987341772
6,3,2,0.2,0.001,5,0.8796022201665125,0.2539409572943537,0.15088555858310626,0.8010849909584087
7,3,2,0.2,0.001,10,0.8717160037002776,0.22365290412876138,0.13230667329027984,0.7224231464737794
8,5,1,0.0,0.001,5,0.8187326549491212,0.17459983150800337,0.09880810488676997,0.7495479204339964
9,5,1,0.0,0.001,10,0.8788852913968548,0.243098713686949,0.14467572681919835,0.7603978300180831
10,5,1,0.2,0.001,5,0.8528214616096207,0.21237623762376237,0.12302839116719243,0.7757685352622061
11,5,1,0.2,0.001,10,0.8786540240518039,0.2387929783838677,0.14221531017798514,0.744122965641953
12,5,2,0.0,0.001,5,0.873172987974098,0.2366369710467706,0.13984863441921686,0.7685352622061483
13,5,2,0.0,0.001,10,0.8979648473635523,0.261219022103148,0.16029593094944514,0.705244122965642
14,5,2,0.2,0.001,5,0.7991443108233117,0.1588377723970944,0.08894674042737824,0.7414104882459313
15,5,2,0.2,0.001,10,0.8928538390379278,0.24383874653174475,0.1487751443935471,0.6754068716094033
16,7,1,0.0,0.001,5,0.8112858464384829,0.15650196402728966,0.08835200746965453,0.6844484629294756
17,7,1,0.0,0.001,10,0.8851063829787233,0.2366318377381684,0.14253980007404665,0.6962025316455697
18,7,1,0.2,0.001,5,0.8156799259944496,0.16016859852476292,0.09064885496183206,0.6871609403254972
19,7,1,0.2,0.001,10,0.815795559666975,0.15364998406120497,0.08705599036724865,0.6537070524412296
20,7,2,0.0,0.001,5,0.7991905642923219,0.16033265641620734,0.08976719003789929,0.7495479204339964
21,7,2,0.0,0.001,10,0.8176688251618871,0.15389568576947843,0.08731125182659523,0.6482820976491862
22,7,2,0.2,0.001,5,0.7443802035152637,0.1405800482077599,0.07690344534240749,0.8173598553345389
23,7,2,0.2,0.001,10,0.8867946345975948,0.2479643570440928,0.14936146585230428,0.7296564195298373
